channel_name,subscribers,video_num,total_view,vs_index,vv_index,cpi,genres,moods
음악공장장,28700,47,11774947,410,250531,21543,"트로트, Ballad (국내), Blues (국내), Dance (국내), Folk (국내), R&B / Soul (국내), Rap / Hip-hop (국내), Rock (국내), Electronica (국내), Jazz (국내), OST (국내)",모든 분위기
904day,38400,249,19119239,498,76784,1688,"Ballad (국내), Folk (국내), Rock (국내), Rap / Hip-hop (국내), R&B / Soul (국내), Blues (국내)",모든 분위기
HoMu,39600,87,9408106,238,108139,3148,"Blues (국외), Country (국외), Electronica (국외), Folk (국외), Pop (국외), EDM (국외), R&B / Soul (국외), Rap / Hip-hop (국외), Rock (국외), CCM (국외), Jazz (국외), OST (국외)",모든 분위기
팝박스,37900,103,35266218,931,342390,-,"Electronica (국외), Folk (국외), Pop (국외), R&B / Soul (국외), Rock (국외)",모든 분위기
Animación BLUEY,25600,74,5921669,231,80023,1077,,
544 _,34000,198,15006570,441,75791,2486,"Country (국외), Electronica (국외), Folk (국외), Pop (국외), R&B / Soul (국외), Rock (국외)",모든 분위기
바나나뮤직,28200,608,34795265,1234,57229,11786,"Ballad (국내), Blues (국내), Dance (국내), Folk (국내), R&B / Soul (국내), Rap / Hip-hop (국내), Rock (국내), Electronica (국내), Jazz (국내), OST (국내)",모든 분위기
유니키즈,29700,36,11560536,389,321126,11752,"어린이음악, New Age, 뮤직테라피, Classic, Pop (국외), Jazz (국외)",모든 분위기
아드레날린,42500,482,139190298,3275,288777,2885,"Ballad (국내), Blues (국내), Dance (국내), Folk (국내), R&B / Soul (국내), Rap / Hip-hop (국내), Rock (국내), Electronica (국내), Jazz (국내), OST (국내)",
똥꼬발랄 𝕡𝕝𝕒𝕪𝕝𝕚𝕤𝕥,25700,79,10468056,407,132507,10081,"R&B / Soul (국내), Rap / Hip-hop (국내)",모든 분위기
유튜브앤레코드,23200,131,3958685,171,30219,810,"Ballad (국내), Blues (국내), Dance (국내), Folk (국내), R&B / Soul (국내), Rap / Hip-hop (국내), Rock (국내), Electronica (국내), Jazz (국내), OST (국내)",모든 분위기
피스(cool peace),23600,195,10838053,459,55580,-,"OST (국내), OST (국외), Electronica (J-Pop), Pop (J-Pop), R&B / Soul (J-Pop), Rap / Hip-hop (J-Pop), Rock (J-Pop)",모든 분위기
차가운 국물,36800,341,44804543,1218,131392,1132,"Ballad (국내), Dance (국내), Rock (국내), Electronica (국내), OST (국내)",모든 분위기
토닥토닥ᵗᵒᵈᵃᵏᵗᵒᵈᵃᵏ,43700,273,32725000,749,119872,15505,"Ballad (국내), Blues (국내), Dance (국내), Folk (국내), R&B / Soul (국내), Rap / Hip-hop (국내), Rock (국내), Electronica (국내), Jazz (국내), Blues (국외), Country (국외), Electronica (국외), Folk (국외), Pop (국외), EDM (국외), R&B / Soul (국외), Rap / Hip-hop (국외), Rock (국외), Electronica (J-Pop), Pop (J-Pop), R&B / Soul (J-Pop), Rap / Hip-hop (J-Pop), Rock (J-Pop)",모든 분위기
한여백 餘白,29900,37,3613507,121,97662,6031,"Ballad (국내), Blues (국내), Dance (국내), Folk (국내), R&B / Soul (국내), Rap / Hip-hop (국내), Rock (국내), Electronica (국내), Jazz (국내), Blues (국외), Country (국외), Electronica (국외), Folk (국외), Pop (국외), EDM (국외), R&B / Soul (국외), Rap / Hip-hop (국외), Rock (국외)",
뮤즈하우스MUSES' HOUSE,22100,34,4259123,193,125268,-,Classic,모든 분위기
로디,21400,235,19204998,897,81723,449,"Ballad (국내), Dance (국내), Rock (국내), Electronica (국내), OST (국내)",모든 분위기
마이오데스 My Odes,24300,32,9568270,394,299008,9944,"New Age, Classic, 뮤직테라피, Blues (국내), Folk (국내), Rock (국내)",모든 분위기
쥬크박스,21900,59,15732788,718,266657,62239,"Ballad (국내), Blues (국내), Dance (국내), Folk (국내), R&B / Soul (국내), Rap / Hip-hop (국내), Rock (국내), Electronica (국내), OST (국내)",모든 분위기
롱디see,,,,,,-,"OST (국내), OST (국외), Electronica (J-Pop), Pop (J-Pop), R&B / Soul (J-Pop), Rap / Hip-hop (J-Pop), Rock (J-Pop)",모든 분위기
오에니,37500,111,4936896,132,44477,3092,"Jazz (국내), Jazz (국외), Classic, New Age, Classic, 뮤직테라피",모든 분위기
saddd,18900,104,5245731,278,50440,1056,"R&B / Soul (국내), Rap / Hip-hop (국내), R&B / Soul (국외), Rap / Hip-hop (국외)",모든 분위기
담에ᴅᴀᴍᴇᴀ,20300,58,5550321,273,95695,5164,"Electronica (J-Pop), Pop (J-Pop), R&B / Soul (J-Pop), Rap / Hip-hop (J-Pop), Rock (J-Pop), Rap / Hip-hop (국내), Dance (국내), Rock (국내)",모든 분위기
𝗠𝗨𝗠𝗜𝗚𝗘 Ι 뮤미지,20000,69,2967280,148,43004,9795,"Blues (국외), Country (국외), Folk (국외), Pop (국외), R&B / Soul (국외), Jazz (국외), OST (국외), Electronica (국외), Rock (국외)",모든 분위기
쩌리뮤직... ,27000,215,13561498,502,63077,4335,"Ballad (국내), Blues (국내), Dance (국내), Folk (국내), R&B / Soul (국내), Rap / Hip-hop (국내), Rock (국내), Electronica (국내), Jazz (국내), OST (국내)",모든 분위기
이준,18100,37,5055216,279,136627,1083,"Ballad (국내), Folk (국내), Rock (국내), Pop (국외), Dance (국내), R&B / Soul (국내), Blues (국내)",모든 분위기
파란하늘 Blue Sky,23200,201,7343680,317,36536,336,"Blues (국외), Country (국외), Electronica (국외), Folk (국외), Pop (국외), EDM (국외), R&B / Soul (국외), Rap / Hip-hop (국외), Rock (국외), CCM (국외), Jazz (국외), OST (국외)",모든 분위기
치아바타 스튜디오,24300,292,2847725,117,9752,771,"Jazz (국내), Jazz (국외)",모든 분위기
난해 ; 難解,23200,135,3600125,155,26668,2128,"R&B / Soul (국내), R&B / Soul (국외), Pop (국외), Ballad (국내), Blues (국내), Folk (국내), Rock (국내), Jazz (국외), Blues (국내)",모든 분위기
언플 Unplayer,24800,108,5910341,238,54725,591,"Ballad (국내), Rock (국내), Pop (국외), R&B / Soul (국외), Rap / Hip-hop (국외), Rock (국외)",모든 분위기
공감공감 ᴳᴼᴺᴳᴳᴬᴹ,19800,92,12345363,624,134189,3352,"Rap / Hip-hop (국내), Ballad (국내)",모든 분위기
릴리랄라 lililala,16800,28,9598949,571,342820,53464,Dance (국내),모든 분위기
떤더TʜᴜɴᴅᴇʀGʀᴏᴏᴠᴇ,19000,30,10412201,548,347073,1971045,"Pop (국외), R&B / Soul (국외), Rap / Hip-hop (국내), R&B / Soul (국내), Rap / Hip-hop (국외)",모든 분위기
Give U,18000,38,17522245,973,461112,9839,"OST (국내), Folk (국내), Rock (국내), Ballad (국내), Blues (국내)",모든 분위기
at the moment,18100,35,2310159,128,66005,6069,"New Age, Classic, 뮤직테라피, Jazz (국내), Jazz (국외)",모든 분위기
Ourgreendays,16200,20,1871646,116,93582,5979,"Pop (국외), Country (국외), R&B / Soul (국외), Folk (국외)",모든 분위기
장밀크milk,15300,87,6625061,433,76150,-,"Pop (국외), R&B / Soul (국외), Jazz (국내), Jazz (국외), Classic, R&B / Soul (국내), New Age",모든 분위기
laulu,16100,69,2797206,174,40539,1792,"Pop (국외), R&B / Soul (국외)",모든 분위기
반딧불 playlist,18000,110,2031777,113,18471,5449,"Ballad (국내), Blues (국내), Folk (국내), Rock (국내)",모든 분위기
현지,26200,35,9046541,345,258473,36263,"OST (국내), OST (국외)",모든 분위기
코오 coO,35500,34,5357712,151,157580,7328,"New Age, Classic, 뮤직테라피",모든 분위기
1412,16400,58,7838418,478,135145,15658,"OST (국내), OST (국외)",모든 분위기
